iter	Passed	Remaining
0	60	60885
1	61	30758
2	62	20748
3	63	15693
4	63	12728
5	64	10711
6	65	9289
7	66	8188
8	66	7326
9	67	6700
10	68	6146
11	69	5682
12	69	5280
13	70	4941
14	70	4656
15	72	4446
16	72	4214
17	73	4010
18	74	3855
19	75	3704
20	76	3552
21	76	3421
22	77	3294
23	78	3179
24	79	3086
25	79	2989
26	80	2897
27	80	2810
28	81	2729
29	82	2656
30	83	2597
31	83	2533
32	84	2475
33	85	2424
34	86	2376
35	87	2335
36	87	2287
37	88	2240
38	89	2195
39	89	2155
40	90	2120
41	91	2081
42	91	2044
43	92	2012
44	93	1985
45	94	1954
46	94	1923
47	95	1894
48	96	1876
49	98	1874
50	99	1849
51	99	1821
52	100	1795
53	101	1774
54	102	1754
55	102	1734
56	103	1714
57	104	1693
58	104	1671
59	105	1650
60	106	1631
61	106	1616
62	107	1601
63	108	1585
64	109	1572
65	110	1559
66	110	1544
67	111	1528
68	112	1515
69	112	1499
70	113	1484
71	114	1471
72	114	1458
73	115	1445
74	116	1434
75	116	1420
76	118	1415
77	119	1407
78	119	1395
79	120	1383
80	120	1372
81	121	1362
82	122	1349
83	122	1338
84	123	1328
85	124	1319
86	124	1308
87	126	1311
88	127	1305
89	128	1304
90	129	1296
91	130	1288
92	131	1279
93	131	1271
94	132	1263
95	133	1254
96	133	1246
97	134	1238
98	135	1230
99	136	1224
100	136	1216
101	137	1212
102	138	1207
103	139	1200
104	139	1192
105	140	1185
106	141	1177
107	141	1172
108	142	1166
109	143	1158
110	143	1152
111	144	1144
112	145	1140
113	146	1136
114	147	1132
115	147	1126
116	148	1118
117	148	1113
118	149	1107
119	150	1101
120	150	1094
121	151	1087
122	151	1081
123	152	1075
124	152	1069
125	153	1064
126	153	1058
127	154	1052
128	155	1047
129	155	1041
130	156	1036
131	157	1032
132	157	1027
133	158	1022
134	158	1016
135	159	1011
136	159	1006
137	160	1004
138	161	1000
139	162	995
140	162	990
141	162	984
142	163	979
143	164	975
144	165	973
145	165	968
146	166	963
147	166	959
148	167	954
149	167	950
150	168	947
151	169	944
152	169	940
153	170	935
154	171	933
155	171	928
156	172	927
157	173	923
158	173	919
159	174	915
160	174	911
161	175	908
162	176	905
163	177	904
164	178	901
165	178	897
166	179	893
167	180	891
168	180	888
169	181	885
170	181	881
171	182	878
172	182	874
173	183	871
174	184	869
175	184	865
176	185	862
177	185	858
178	186	855
179	187	852
180	187	850
181	188	847
182	189	845
183	189	842
184	190	838
185	190	835
186	191	834
187	192	831
188	192	828
189	193	825
190	194	821
191	194	818
192	195	815
193	195	813
194	196	810
195	196	807
196	197	804
197	197	801
198	198	798
199	199	798
200	200	795
201	200	793
202	201	790
203	201	787
204	202	784
205	202	782
206	203	780
207	204	777
208	204	775
209	205	772
210	205	769
211	206	767
212	207	766
213	207	763
214	208	760
215	208	758
216	209	756
217	210	753
218	210	751
219	211	749
220	211	746
221	212	744
222	212	741
223	213	739
224	213	736
225	214	735
226	215	733
227	216	731
228	217	731
229	217	728
230	218	726
231	218	724
232	219	722
233	220	720
234	220	718
235	221	715
236	221	713
237	222	712
238	223	710
239	223	708
240	224	705
241	224	703
242	225	701
243	226	701
244	227	700
245	227	698
246	228	696
247	229	694
248	229	693
249	230	691
250	231	689
251	231	687
252	232	685
253	232	684
254	234	685
255	235	683
256	236	682
257	236	681
258	237	679
259	238	678
260	239	677
261	239	675
262	240	673
263	241	672
264	241	670
265	242	669
266	244	670
267	245	669
268	246	668
269	246	666
270	247	665
271	247	663
272	248	661
273	249	660
274	249	659
275	250	657
276	251	656
277	252	654
278	253	656
279	255	655
280	256	655
281	256	653
282	257	651
283	257	650
284	258	649
285	259	647
286	260	645
287	260	644
288	261	643
289	262	643
290	263	642
291	264	640
292	265	640
293	266	639
294	266	637
295	267	636
296	268	634
297	268	633
298	269	632
299	270	630
300	270	628
301	271	627
302	272	625
303	272	624
304	274	624
305	274	622
306	275	621
