iter	RMSE
0	14.70926777
1	14.41745073
2	14.1311425
3	13.84807697
4	13.56621815
5	13.3198556
6	13.09236478
7	12.85933904
8	12.62131018
9	12.37497291
10	12.1398672
11	11.93667109
12	11.74940279
13	11.53691928
14	11.32898472
15	11.125327
16	10.93414402
17	10.75424953
18	10.58104707
19	10.41353849
20	10.24097835
21	10.0785621
22	9.929242377
23	9.776748374
24	9.661092135
25	9.525799494
26	9.387610083
27	9.245840792
28	9.115148572
29	8.992519657
30	8.874037891
31	8.748429515
32	8.639625276
33	8.539838043
34	8.440093974
35	8.329209828
36	8.229574856
37	8.141913733
38	8.037375651
39	7.950187255
40	7.866928517
41	7.79211653
42	7.711911896
43	7.627640074
44	7.544985197
45	7.464871925
46	7.388432813
47	7.318377632
48	7.253860525
49	7.182299317
50	7.115913626
51	7.049699613
52	6.996978673
53	6.94463011
54	6.890843624
55	6.83477432
56	6.779056703
57	6.727722564
58	6.677165353
59	6.630860044
60	6.580840551
61	6.533814819
62	6.493235304
63	6.455358435
64	6.415787289
65	6.376979443
66	6.344450358
67	6.30295736
68	6.266931241
69	6.234870468
70	6.207526101
71	6.178493356
72	6.153185308
73	6.123287438
74	6.094117841
75	6.066515226
76	6.040677485
77	6.014617991
78	5.987254633
79	5.963220436
80	5.941938405
81	5.915841273
82	5.891945006
83	5.867349141
84	5.845001847
85	5.828516485
86	5.806859695
87	5.785437449
88	5.762260762
89	5.743829925
90	5.726636023
91	5.708677356
92	5.693382642
93	5.680277574
94	5.66934519
95	5.652978536
96	5.636352186
97	5.619186733
98	5.60851425
99	5.593644556
100	5.58168267
101	5.565345722
102	5.553535136
103	5.539320569
104	5.527210398
105	5.514975625
106	5.501307242
107	5.489442887
108	5.480066531
109	5.466630497
110	5.460053035
111	5.448596858
112	5.437245265
113	5.429601792
114	5.422183456
115	5.410964305
116	5.403498722
117	5.396603691
118	5.388124028
119	5.378477183
120	5.36991217
121	5.363407793
122	5.355981892
123	5.346461145
124	5.339434998
125	5.329326102
126	5.324181235
127	5.316172191
128	5.30473933
129	5.297730864
130	5.290576878
131	5.282531535
132	5.274942584
133	5.26682775
134	5.260481526
135	5.253389265
136	5.24590662
137	5.241239069
138	5.239080179
139	5.232737996
140	5.228215424
141	5.220460777
142	5.213321075
143	5.208576787
144	5.203279942
145	5.197774897
146	5.193344661
147	5.189795486
148	5.184204842
149	5.177356782
150	5.169659397
151	5.163966051
152	5.160530243
153	5.156814852
154	5.152036818
155	5.148374262
156	5.144066698
157	5.136557818
158	5.130525839
159	5.127133064
160	5.123859627
161	5.117801175
162	5.112679516
163	5.110239961
164	5.10821297
