iter	Passed	Remaining
0	49	49729
1	50	25143
2	50	16919
3	51	12841
4	53	10561
5	53	8923
6	54	7717
7	55	6823
8	55	6122
9	56	5574
10	56	5118
11	57	4727
12	59	4480
13	59	4198
14	60	3947
15	60	3741
16	61	3552
17	61	3382
18	62	3228
19	63	3090
20	65	3041
21	66	2938
22	67	2874
23	69	2808
24	70	2739
25	71	2671
26	72	2599
27	73	2541
28	74	2497
29	75	2454
30	76	2405
31	78	2377
32	79	2329
33	80	2295
34	81	2246
35	81	2195
36	83	2167
37	84	2128
38	84	2092
39	85	2058
40	86	2030
41	88	2030
42	90	2005
43	91	1980
44	92	1956
45	93	1933
46	94	1912
47	95	1888
48	95	1858
49	96	1834
50	97	1823
51	99	1815
52	101	1815
53	102	1796
54	103	1772
55	104	1753
56	104	1733
57	105	1715
58	107	1711
59	108	1705
60	110	1701
61	112	1694
62	113	1683
63	114	1668
64	114	1652
65	116	1641
66	117	1630
67	118	1628
68	121	1635
69	122	1625
70	123	1614
71	124	1600
72	125	1591
73	126	1587
74	127	1575
75	128	1561
76	129	1554
77	130	1545
78	131	1534
79	134	1542
80	135	1533
81	135	1521
82	136	1512
83	138	1505
84	138	1493
85	139	1483
86	140	1478
87	142	1476
88	143	1473
89	144	1460
90	146	1464
91	147	1456
92	148	1449
93	149	1443
94	150	1433
95	152	1436
96	153	1425
97	154	1423
98	155	1417
99	156	1412
100	159	1417
101	160	1412
102	161	1404
103	162	1399
104	163	1393
105	164	1386
106	166	1385
107	166	1379
108	167	1369
109	168	1364
110	169	1358
111	170	1354
112	172	1355
113	173	1350
114	174	1343
115	175	1338
116	177	1339
117	179	1340
118	179	1330
119	180	1325
120	181	1320
121	182	1313
122	183	1308
123	185	1309
124	186	1307
125	187	1302
126	188	1298
127	189	1294
128	190	1289
129	192	1285
130	193	1283
131	194	1277
132	194	1271
133	196	1269
134	198	1273
135	200	1271
136	201	1266
137	202	1262
138	203	1259
139	204	1258
140	205	1252
141	206	1247
142	207	1241
143	207	1236
144	208	1230
145	209	1224
146	210	1223
147	211	1216
148	211	1210
149	212	1204
150	213	1198
151	213	1192
152	214	1186
153	214	1180
154	216	1182
155	217	1176
156	218	1171
157	219	1167
158	220	1164
159	221	1162
160	223	1164
161	224	1162
162	225	1160
163	227	1158
164	227	1152
165	228	1148
166	229	1146
167	230	1141
168	231	1137
169	231	1132
170	232	1127
171	233	1122
172	233	1117
173	234	1112
174	235	1111
175	236	1106
176	237	1102
177	237	1097
178	238	1092
179	239	1088
180	239	1085
181	241	1086
182	242	1082
183	243	1079
184	244	1074
185	244	1070
186	245	1066
187	246	1062
188	246	1058
189	248	1058
190	248	1054
191	249	1050
192	250	1047
193	250	1042
194	251	1038
195	252	1034
196	254	1035
197	254	1031
198	255	1028
199	255	1023
200	256	1020
201	257	1017
202	258	1013
203	258	1009
204	260	1009
205	260	1005
206	261	1002
207	262	999
208	264	1000
209	266	1002
210	267	999
211	267	995
212	268	993
213	270	991
214	270	987
215	271	984
216	271	981
217	272	977
218	272	973
219	273	969
220	274	966
221	274	962
222	275	959
223	276	958
224	277	955
225	278	952
226	278	948
227	279	945
228	279	942
229	280	938
230	282	939
231	282	935
232	283	932
233	284	929
234	284	926
235	285	924
236	286	922
237	288	923
238	288	920
239	289	917
240	290	914
241	290	910
242	291	907
243	291	904
244	292	901
245	293	899
246	294	896
247	294	893
248	295	890
249	296	888
250	297	889
251	298	885
252	298	882
253	299	880
254	300	877
255	301	874
256	301	872
257	302	869
258	303	869
259	304	866
260	305	864
261	305	861
262	306	858
263	307	856
264	307	853
265	309	853
266	310	851
267	310	848
268	311	846
269	312	844
270	312	841
271	313	838
272	314	836
273	314	833
274	315	830
275	315	828
276	316	825
277	316	823
278	317	820
279	318	818
280	319	818
281	320	815
282	321	813
283	321	811
284	322	808
285	322	806
286	323	803
287	324	803
288	325	801
289	326	799
290	326	796
291	327	794
292	328	792
293	329	790
294	329	787
295	330	785
296	330	782
297	331	780
298	331	778
299	332	776
300	333	774
301	333	771
302	335	772
303	336	769
304	336	767
305	337	765
306	338	763
307	338	761
308	339	758
309	341	759
310	341	756
311	342	755
312	343	752
313	343	750
314	344	748
315	345	746
316	346	746
317	347	744
318	347	742
319	348	740
320	349	738
321	349	736
322	350	734
323	351	734
324	352	732
325	353	729
326	353	727
327	354	725
328	355	724
329	356	723
330	357	723
331	358	720
332	358	718
333	359	716
334	360	714
335	360	712
336	361	710
337	361	708
338	362	707
339	363	705
340	363	703
341	364	701
342	364	699
343	365	697
344	366	695
345	366	693
346	367	692
347	368	690
348	370	690
349	371	690
350	373	691
351	375	690
352	376	690
353	377	689
354	378	687
355	381	689
356	381	687
357	382	685
358	383	683
359	384	683
360	384	681
361	386	680
362	386	678
363	387	677
364	388	675
365	388	673
366	389	671
367	390	670
368	391	668
369	392	667
370	392	665
371	393	663
372	393	662
373	394	660
374	395	658
375	395	656
376	396	655
377	396	653
378	397	651
379	398	649
380	398	647
381	399	646
382	399	644
383	401	643
384	401	641
385	402	639
386	403	638
387	403	636
388	404	635
389	405	634
390	406	632
391	406	630
392	407	629
393	407	627
394	408	625
395	409	624
396	409	622
397	411	622
398	412	620
399	413	619
400	413	617
401	414	616
402	414	614
403	415	612
404	416	612
405	417	610
406	417	608
407	418	607
408	419	606
409	420	604
410	420	602
411	421	601
412	422	600
413	423	598
414	423	597
415	424	596
416	425	594
417	425	592
418	426	590
419	426	589
420	427	587
421	427	586
422	428	584
423	429	584
424	430	582
425	431	580
426	431	579
427	432	577
428	432	576
429	433	574
430	433	572
431	434	571
432	435	569
433	435	568
434	436	566
435	436	565
436	437	564
437	438	562
438	438	560
439	439	559
440	440	558
441	440	556
442	441	554
443	442	553
444	442	551
445	443	550
446	443	549
447	444	547
448	446	547
449	446	545
450	447	544
451	447	542
452	448	541
453	449	540
454	449	538
455	450	537
456	450	535
457	451	534
458	452	533
459	453	531
460	453	530
461	454	528
462	454	527
463	456	527
464	457	525
465	457	524
466	458	523
467	459	522
468	459	520
469	460	519
470	461	518
471	462	517
472	463	515
473	463	514
474	464	513
475	464	511
476	465	510
477	466	509
478	466	507
479	467	506
480	468	505
481	469	504
482	469	502
483	470	501
484	471	500
485	471	499
486	472	497
487	473	496
488	473	495
489	474	493
490	475	492
491	475	491
492	476	490
493	477	488
494	477	487
495	478	486
496	479	485
497	479	483
498	480	482
499	481	481
500	483	481
501	483	479
502	484	478
503	484	477
504	485	475
505	487	475
506	487	474
507	488	472
508	489	471
509	489	470
510	490	469
511	490	467
512	492	467
513	493	466
514	493	464
515	494	463
516	494	462
517	495	461
518	495	459
519	496	458
520	497	457
521	498	456
522	498	454
523	499	453
524	500	452
525	500	451
526	501	449
527	503	449
528	503	448
529	504	447
530	504	445
531	505	444
532	506	443
533	506	442
534	507	440
535	507	439
536	508	438
537	509	437
538	509	435
539	510	434
540	510	433
541	511	432
542	512	431
543	513	430
544	513	429
545	514	427
546	515	426
547	516	425
548	516	424
549	518	424
550	518	422
551	519	421
552	520	420
553	520	419
554	521	418
555	521	416
556	522	415
557	523	414
558	524	413
559	525	412
560	525	411
561	526	410
562	526	408
563	527	407
564	527	406
565	528	405
566	529	404
567	529	403
568	530	401
569	531	400
570	531	399
571	533	398
572	533	397
573	534	396
574	535	395
575	535	394
576	536	393
577	536	392
578	537	390
579	537	389
580	538	388
581	539	387
582	539	386
583	540	385
584	541	384
585	541	382
586	543	382
587	543	381
588	544	380
589	545	378
590	545	377
591	546	376
592	547	375
593	548	375
594	549	373
595	550	372
596	550	371
597	551	370
598	551	369
599	552	368
600	552	366
601	554	366
602	554	365
603	555	364
604	556	363
605	557	362
606	557	361
607	558	360
608	559	359
609	560	358
610	561	357
611	561	356
612	562	354
613	562	353
614	563	352
615	564	351
616	564	350
617	565	349
618	566	348
619	566	347
620	567	346
621	568	345
622	568	344
623	570	343
624	570	342
625	571	341
626	571	340
627	572	339
628	573	338
629	573	336
630	575	336
631	576	335
632	577	334
633	578	333
634	578	332
635	579	331
636	579	330
637	581	329
638	582	328
639	582	327
640	583	326
641	584	325
642	584	324
643	585	323
644	586	322
645	586	321
646	587	320
647	588	319
648	588	318
649	589	317
650	590	316
651	591	315
652	592	314
653	592	313
654	593	312
655	594	311
656	594	310
657	595	309
658	595	308
659	596	307
660	597	306
661	597	305
662	598	303
663	598	303
664	599	302
665	600	300
666	601	300
667	602	299
668	602	298
669	603	297
670	604	296
671	604	295
672	605	294
673	606	293
674	606	292
675	607	291
676	608	290
677	608	289
678	609	288
679	610	287
680	611	286
681	611	285
682	612	284
683	612	283
684	613	282
685	614	281
686	615	280
687	615	279
688	617	278
689	617	277
690	618	276
691	619	275
692	619	274
693	620	273
694	620	272
695	621	271
696	622	270
697	623	269
698	623	268
699	624	267
700	625	266
701	625	265
702	626	264
703	628	264
704	629	263
705	630	262
706	631	261
707	631	260
708	632	259
709	633	258
710	634	257
711	635	256
712	635	255
713	636	255
714	637	254
715	637	252
716	638	251
717	638	250
718	639	249
719	640	248
720	640	247
721	641	247
722	642	246
723	644	245
724	644	244
725	645	243
726	646	242
727	646	241
728	647	240
729	648	239
730	649	238
731	649	237
